customer_id,join_date,country,age,recency,frequency,monetary
CUST_0001,2022-04-13,UK,49,44.0,7.0,4635.21
CUST_0002,2022-12-15,USA,49,999.0,0.0,0.0
CUST_0003,2022-09-28,USA,45,2.0,5.0,2512.29
CUST_0004,2022-04-17,USA,30,14.0,7.0,3864.8900000000003
CUST_0005,2022-03-13,USA,48,999.0,0.0,0.0
CUST_0006,2022-07-08,Australia,31,999.0,0.0,0.0
CUST_0007,2022-01-21,USA,37,999.0,0.0,0.0
CUST_0008,2022-04-13,France,35,71.0,1.0,239.61
CUST_0009,2022-05-02,USA,46,356.0,1.0,283.73
CUST_0010,2022-08-03,Canada,23,999.0,0.0,0.0
CUST_0011,2022-11-27,Germany,49,12.0,11.0,13709.66
CUST_0012,2022-03-29,UK,46,28.0,1.0,1047.96
CUST_0013,2022-04-10,UK,60,295.0,1.0,480.27
CUST_0014,2022-12-26,UK,19,3.0,16.0,14479.16
CUST_0015,2022-06-01,USA,40,228.0,1.0,1534.15
CUST_0016,2022-05-11,Australia,36,6.0,13.0,13568.98
CUST_0017,2022-05-30,France,48,5.0,2.0,2360.9
CUST_0018,2022-11-05,Australia,68,14.0,7.0,6871.610000000001
CUST_0019,2022-09-15,USA,22,7.0,5.0,6346.34
CUST_0020,2022-12-10,Germany,36,4.0,6.0,3842.79
CUST_0021,2022-10-21,Australia,51,15.0,21.0,15530.32
CUST_0022,2022-07-11,USA,27,35.0,1.0,292.83
CUST_0023,2022-10-04,USA,42,21.0,17.0,11143.94
CUST_0024,2022-06-10,Germany,19,74.0,1.0,347.32
CUST_0025,2022-11-10,UK,28,49.0,2.0,1392.5
CUST_0026,2022-01-22,France,67,5.0,3.0,911.1099999999999
CUST_0027,2022-09-10,USA,48,136.0,2.0,987.88
CUST_0028,2022-08-24,Germany,32,268.0,1.0,943.25
CUST_0029,2022-12-11,USA,26,98.0,2.0,1330.31
CUST_0030,2022-02-18,USA,40,80.0,4.0,3503.06
CUST_0031,2022-02-28,USA,36,48.0,7.0,10204.539999999999
CUST_0032,2022-06-19,France,26,124.0,7.0,6543.25
CUST_0033,2022-07-07,Canada,52,1.0,4.0,2205.94
CUST_0034,2022-09-28,UK,38,52.0,2.0,973.95
CUST_0035,2022-07-09,USA,26,999.0,0.0,0.0
CUST_0036,2022-06-24,France,45,73.0,1.0,1288.32
CUST_0037,2022-02-20,USA,63,999.0,0.0,0.0
CUST_0038,2022-12-30,France,68,999.0,0.0,0.0
CUST_0039,2022-02-24,UK,24,84.0,2.0,3255.1000000000004
CUST_0040,2022-09-01,USA,33,6.0,27.0,21421.85
CUST_0041,2022-11-16,UK,33,36.0,9.0,4309.94
CUST_0042,2022-05-11,USA,50,176.0,2.0,432.64
CUST_0043,2022-11-03,Germany,21,1.0,3.0,3146.08
CUST_0044,2022-05-15,UK,21,24.0,1.0,1203.63
CUST_0045,2022-01-21,USA,56,999.0,0.0,0.0
CUST_0046,2022-11-25,France,57,13.0,2.0,1211.1299999999999
CUST_0047,2022-06-16,USA,34,55.0,4.0,2210.17
CUST_0048,2022-10-01,UK,54,80.0,4.0,4118.65
CUST_0049,2022-03-30,Australia,56,2.0,25.0,15526.130000000001
CUST_0050,2022-11-12,Canada,69,2.0,22.0,18076.239999999998
CUST_0051,2022-01-14,USA,46,39.0,8.0,7421.45
CUST_0052,2022-08-30,Australia,69,2.0,6.0,5396.9
CUST_0053,2022-09-22,Canada,53,20.0,6.0,3325.3
CUST_0054,2022-12-12,USA,55,132.0,2.0,1015.54
CUST_0055,2022-02-22,USA,56,9.0,4.0,3917.38
CUST_0056,2022-12-06,Germany,67,999.0,0.0,0.0
CUST_0057,2022-04-02,Canada,54,16.0,6.0,4549.27
CUST_0058,2022-09-21,UK,69,13.0,8.0,2272.89
CUST_0059,2022-02-04,France,52,41.0,1.0,1534.15
CUST_0060,2022-07-25,Germany,24,47.0,11.0,8635.82
CUST_0061,2022-03-22,USA,44,25.0,13.0,11047.21
CUST_0062,2022-02-19,USA,45,18.0,4.0,2934.04
CUST_0063,2022-12-26,USA,39,84.0,3.0,2443.06
CUST_0064,2022-01-02,Germany,31,18.0,13.0,9354.529999999999
CUST_0065,2022-02-23,USA,24,999.0,0.0,0.0
CUST_0066,2022-04-16,UK,54,16.0,9.0,8753.04
CUST_0067,2022-09-17,Germany,39,999.0,0.0,0.0
CUST_0068,2022-11-06,France,22,23.0,8.0,4584.57
CUST_0069,2022-07-10,USA,19,62.0,3.0,651.08
CUST_0070,2022-08-06,France,44,7.0,14.0,11135.93
CUST_0071,2022-02-13,USA,38,7.0,11.0,6053.700000000001
CUST_0072,2022-06-11,France,55,999.0,0.0,0.0
CUST_0073,2022-07-21,USA,32,22.0,3.0,2898.31
CUST_0074,2022-09-27,USA,38,10.0,22.0,13829.51
CUST_0075,2022-12-17,Germany,27,42.0,5.0,3304.95
CUST_0076,2022-10-31,USA,40,18.0,10.0,7301.94
CUST_0077,2022-09-28,USA,56,23.0,3.0,1990.04
CUST_0078,2022-08-03,Germany,22,20.0,5.0,3096.8199999999997
CUST_0079,2022-09-09,Germany,18,14.0,4.0,2255.27
CUST_0080,2022-07-09,Canada,30,157.0,1.0,884.72
CUST_0081,2022-10-23,Canada,38,36.0,11.0,8985.53
CUST_0082,2022-08-01,UK,43,103.0,3.0,2306.58
CUST_0083,2022-07-27,USA,67,47.0,4.0,3871.15
CUST_0084,2022-08-25,USA,62,7.0,3.0,1808.47
CUST_0085,2022-12-04,USA,38,5.0,8.0,5806.82
CUST_0086,2022-02-22,Australia,35,22.0,8.0,5634.799999999999
CUST_0087,2022-10-07,UK,54,5.0,16.0,11159.26
CUST_0088,2022-08-05,UK,62,205.0,1.0,480.27
CUST_0089,2022-09-09,UK,49,27.0,11.0,8966.26
CUST_0090,2022-07-07,Australia,53,31.0,8.0,5977.04
