customer_id,join_date,country,age
CUST_0001,2022-04-13,UK,49
CUST_0002,2022-12-15,USA,49
CUST_0003,2022-09-28,USA,45
CUST_0004,2022-04-17,USA,30
CUST_0005,2022-03-13,USA,48
CUST_0006,2022-07-08,Australia,31
CUST_0007,2022-01-21,USA,37
CUST_0008,2022-04-13,France,35
CUST_0009,2022-05-02,USA,46
CUST_0010,2022-08-03,Canada,23
CUST_0011,2022-11-27,Germany,49
CUST_0012,2022-03-29,UK,46
CUST_0013,2022-04-10,UK,60
CUST_0014,2022-12-26,UK,19
CUST_0015,2022-06-01,USA,40
CUST_0016,2022-05-11,Australia,36
CUST_0017,2022-05-30,France,48
CUST_0018,2022-11-05,Australia,68
CUST_0019,2022-09-15,USA,22
CUST_0020,2022-12-10,Germany,36
CUST_0021,2022-10-21,Australia,51
CUST_0022,2022-07-11,USA,27
CUST_0023,2022-10-04,USA,42
CUST_0024,2022-06-10,Germany,19
CUST_0025,2022-11-10,UK,28
CUST_0026,2022-01-22,France,67
CUST_0027,2022-09-10,USA,48
CUST_0028,2022-08-24,Germany,32
CUST_0029,2022-12-11,USA,26
CUST_0030,2022-02-18,USA,40
CUST_0031,2022-02-28,USA,36
CUST_0032,2022-06-19,France,26
CUST_0033,2022-07-07,Canada,52
CUST_0034,2022-09-28,UK,38
CUST_0035,2022-07-09,USA,26
CUST_0036,2022-06-24,France,45
CUST_0037,2022-02-20,USA,63
CUST_0038,2022-12-30,France,68
CUST_0039,2022-02-24,UK,24
CUST_0040,2022-09-01,USA,33
CUST_0041,2022-11-16,UK,33
CUST_0042,2022-05-11,USA,50
CUST_0043,2022-11-03,Germany,21
CUST_0044,2022-05-15,UK,21
CUST_0045,2022-01-21,USA,56
CUST_0046,2022-11-25,France,57
CUST_0047,2022-06-16,USA,34
CUST_0048,2022-10-01,UK,54
CUST_0049,2022-03-30,Australia,56
CUST_0050,2022-11-12,Canada,69
CUST_0051,2022-01-14,USA,46
CUST_0052,2022-08-30,Australia,69
CUST_0053,2022-09-22,Canada,53
CUST_0054,2022-12-12,USA,55
CUST_0055,2022-02-22,USA,56
CUST_0056,2022-12-06,Germany,67
CUST_0057,2022-04-02,Canada,54
CUST_0058,2022-09-21,UK,69
CUST_0059,2022-02-04,France,52
CUST_0060,2022-07-25,Germany,24
CUST_0061,2022-03-22,USA,44
CUST_0062,2022-02-19,USA,45
CUST_0063,2022-12-26,USA,39
CUST_0064,2022-01-02,Germany,31
CUST_0065,2022-02-23,USA,24
CUST_0066,2022-04-16,UK,54
CUST_0067,2022-09-17,Germany,39
CUST_0068,2022-11-06,France,22
CUST_0069,2022-07-10,USA,19
CUST_0070,2022-08-06,France,44
CUST_0071,2022-02-13,USA,38
