order_id,customer_id,product_id,order_date,quantity,price,total_amount
ORD_00889,CUST_0074,PROD_025,2023-01-01,5,191.87,959.35
ORD_00004,CUST_0549,PROD_027,2023-01-01,2,355.74,711.48
ORD_02762,CUST_0838,PROD_013,2023-01-01,3,339.75,1019.25
ORD_01444,CUST_0179,PROD_047,2023-01-01,5,494.14,2470.7
ORD_00698,CUST_0557,PROD_019,2023-01-02,3,412.99,1238.97
ORD_00441,CUST_0590,PROD_010,2023-01-02,3,424.35,1273.0500000000002
ORD_01881,CUST_0040,PROD_050,2023-01-02,1,78.87,78.87
ORD_03378,CUST_0538,PROD_041,2023-01-02,4,210.72,842.88
ORD_04090,CUST_0835,PROD_047,2023-01-02,5,494.14,2470.7
ORD_00424,CUST_0306,PROD_050,2023-01-02,2,78.87,157.74
ORD_01140,CUST_0021,PROD_021,2023-01-02,3,459.15,1377.4499999999998
ORD_01258,CUST_0680,PROD_035,2023-01-02,5,85.69,428.45
ORD_02005,CUST_0354,PROD_013,2023-01-02,4,339.75,1359.0
ORD_02683,CUST_0197,PROD_021,2023-01-02,5,459.15,2295.75
ORD_02201,CUST_0820,PROD_035,2023-01-03,5,85.69,428.45
ORD_00477,CUST_0611,PROD_008,2023-01-03,5,367.3,1836.5
ORD_02561,CUST_0795,PROD_038,2023-01-03,1,322.08,322.08
ORD_00937,CUST_0826,PROD_013,2023-01-03,3,339.75,1019.25
ORD_00901,CUST_0113,PROD_035,2023-01-03,2,85.69,171.38
ORD_01579,CUST_0984,PROD_016,2023-01-03,1,396.6,396.6
ORD_04236,CUST_0189,PROD_010,2023-01-03,1,424.35,424.35
ORD_04560,CUST_0618,PROD_040,2023-01-03,5,45.14,225.7
ORD_00121,CUST_0325,PROD_029,2023-01-03,5,193.53,967.65
ORD_04616,CUST_0223,PROD_042,2023-01-03,2,162.5,325.0
ORD_00626,CUST_0785,PROD_016,2023-01-03,4,396.6,1586.4
ORD_00209,CUST_0658,PROD_012,2023-01-03,2,220.67,441.34
ORD_02565,CUST_0049,PROD_003,2023-01-03,2,292.83,585.66
ORD_02154,CUST_0023,PROD_040,2023-01-04,2,45.14,90.28
ORD_03351,CUST_0149,PROD_009,2023-01-04,2,329.62,659.24
ORD_02605,CUST_0118,PROD_002,2023-01-04,3,248.14,744.42
ORD_02276,CUST_0920,PROD_014,2023-01-04,2,144.94,289.88
ORD_04282,CUST_0572,PROD_026,2023-01-04,4,304.53,1218.12
ORD_03465,CUST_0179,PROD_004,2023-01-04,3,31.43,94.28999999999999
ORD_02856,CUST_0089,PROD_008,2023-01-04,5,367.3,1836.5
ORD_03577,CUST_0142,PROD_002,2023-01-04,1,248.14,248.14
ORD_03931,CUST_0679,PROD_007,2023-01-04,1,178.15,178.15
ORD_03048,CUST_0346,PROD_001,2023-01-04,5,154.57,772.8499999999999
ORD_01561,CUST_0514,PROD_049,2023-01-04,3,347.25,1041.75
ORD_03380,CUST_0306,PROD_009,2023-01-04,2,329.62,659.24
ORD_00832,CUST_0439,PROD_022,2023-01-05,2,221.18,442.36
ORD_03638,CUST_0474,PROD_033,2023-01-05,1,446.15,446.15
ORD_03693,CUST_0256,PROD_017,2023-01-05,3,228.75,686.25
ORD_00630,CUST_0290,PROD_014,2023-01-05,4,144.94,579.76
ORD_01164,CUST_0314,PROD_005,2023-01-05,5,70.27,351.34999999999997
ORD_02167,CUST_0920,PROD_041,2023-01-05,4,210.72,842.88
ORD_00276,CUST_0380,PROD_019,2023-01-05,3,412.99,1238.97
ORD_04715,CUST_0116,PROD_024,2023-01-05,1,295.28,295.28
ORD_03824,CUST_0460,PROD_050,2023-01-05,2,78.87,157.74
ORD_00432,CUST_0393,PROD_034,2023-01-05,4,179.48,717.92
ORD_01249,CUST_0502,PROD_041,2023-01-06,3,210.72,632.16
ORD_01784,CUST_0788,PROD_012,2023-01-06,1,220.67,220.67
ORD_04180,CUST_0845,PROD_014,2023-01-06,3,144.94,434.82
ORD_02872,CUST_0698,PROD_031,2023-01-06,3,220.96,662.88
